ID,Imagen,Nombre,Referencia,EAN13,Categoría,Precio base,Precio final,Cantidad,Estado
8611,http://ilusionstore.es/img/p/8611-6465.jpg,MERENDERO TERMICO SOY LUNA SUPERLIKE 21X15X10 CM.,SOY27093,'8435376327093',SOY LUNA,8.950.000,8.95,0,1
8798,http://ilusionstore.es/img/p/8798-6684.jpg,PLUMIER TRIPLE RELLENO SOY LUNA DISNES GIOTTO,SOY2700-0193,'8427934943708',SOY LUNA,9.950.000,9.95,4,1
8283,http://ilusionstore.es/img/p/8283-6126.jpg,BOLSO MUFFIN MINI SKYE JOLLY PAW GIRL,SKY01956,'8435376301956',SKYE,6.950.000,6.95,5,1
7373,http://ilusionstore.es/img/p/7373-5155.jpg,PAW PATROL MERENDEROO CUADRADO TEAM,PAW35342,'8435376935342',PAW PATROL,9.450.000,9.45,0,1
9585,http://ilusionstore.es/img/p/9585-7675.jpg,PACK 8 ZAPATILLA BLANDA FROZEN DISNEY (T 23 A 32),FZ2300-2881,'8427934151943',FROZEN,34.800.000,34.8,1,1
8407,http://ilusionstore.es/img/p/8407-6249.jpg,PACK 5 PIJAMAS FANTASIA PRINCESA BELLA(T3-4-5-6-7),PR2200-2080,'8427934911592',PRINCESAS DISNEY,44.750.000,44.75,0,1
5559,http://ilusionstore.es/img/p/5559-3863.jpg,SET PAPELERIA ESTUCHE METALICO FROZEN DISNEY,FZ7669,'5205698167669',FROZEN,1.650.000,1.65,0,1
8537,http://ilusionstore.es/img/p/8537-6390.jpg,SACO FROZEN SUMMER DISNEY 41X35X2CM.,FZ00607,'8435376300607',FROZEN,5.500.000,5.5,1,1
7970,http://ilusionstore.es/img/p/7970-5705.jpg,SET REGALO PAPELERIA 20 PIEZAS REAL MADRID,FUT48468,'8426842048468',FUTBOL,4.990.000,4.99,0,1
7061,http://ilusionstore.es/img/p/7061-4703.jpg,MOCHILA 28CM. BUSCANDO A DORY DISNEY,NEM01705,'8435465001705',BUSCANDO A DORY,8.950.000,8.95,0,1
7436,http://ilusionstore.es/img/p/7436-5202.jpg,GORRO PREMIUM SKYE PAW PATROL GIRL,SKY2200-1805,'8427934829668',SKYE,5.650.000,5.65,0,1
9383,http://ilusionstore.es/img/p/9383-7476.jpg,PARAGUAS AUTOMATICO PRODIGIOSA LADYBUG 45CM.,BUG81712,'8435333881712',LADYBUG,3.950.000,3.95,38,1
8677,http://ilusionstore.es/img/p/8677-6524.jpg,TAZA MICROONDAS AVENGERS 350ML. GALLERY,AV77041,'8412497877041',AVENGERS,1.250.000,1.25,25,1
9659,http://ilusionstore.es/img/p/9659-7749.jpg,BOLSO TOTE BAG BETTY BOOP 45 STREETS 28X45X17.5CM,BB65613,'8435376365613',BETTY BOOP,21.500.000,21.5,1,1
8348,http://ilusionstore.es/img/p/8348-6191.jpg,PACK 8 CHANCLAS PLAYA FROZEN DISNEY (T 26 A 35),FZ2300-2366,'8427934913541',FROZEN,12.800.000,12.8,1,1
6591,http://ilusionstore.es/img/p/6591-4377.jpg,SET PALETA COSMETICOS SKYE EN CAJA REGALO,SKY77893,'8414640177893',PAW PATROL GIRL,8.500.000,8.5,0,1
5717,http://ilusionstore.es/img/p/5717-2863.jpg,GORRA PREMIUM MICKEY,MCK2200-1015,'',MICKEY,3.150.000,3.15,0,1
6807,http://ilusionstore.es/img/p/6807-4204.jpg,SET DESAYUNO STAR WARS EPISODIO VII CAJA REGALO,SW51296,'8435333851296',STAR WARS,5.950.000,5.95,0,1
9295,http://ilusionstore.es/img/p/9295-7390.jpg,GORRO INVIERNO CON LUZ CARS 3 DISNEY,CR2200-2568,'8427934966325',CARS,5.650.000,5.65,12,1
8038,http://ilusionstore.es/img/p/8038-5812.jpg,CARPETA TAMAÑO A4 LADYBUG SOLAPAS GRUESAS DISNEY,BUG64919,'8412688264919',LADYBUG,4.550.000,4.55,0,1
7180,http://ilusionstore.es/img/p/7180-4836.jpg,MOCHILA ADAPT. ESCOLAR CON CARRO FROZEN DISNEY,FZ2100-1209,'8427934812929',FROZEN,21.940.000,21.94,0,1
9447,http://ilusionstore.es/img/p/9447-7542.jpg,BOLSO BANDOLERA AJUSTABLE CON SOLAPA SKYE BEST PUP,SKY02276,'8435465002276',SKYE,7.950.000,5.96,12,1
5250,http://ilusionstore.es/img/p/5250-2472.jpg,MOCHILA ADAPTABLE 40CM DESCENDANTS DISNEY,DES87718,'8435306287718',DESCENDANTS,16.500.000,16.5,0,1
9721,http://ilusionstore.es/img/p/9721-7812.jpg,SET RELOJ DIGITAL Y WALKIE TALKIES FROZEN DISNEY,FZ86922,'8435333886922',FROZEN,11.750.000,11.75,6,1
7851,http://ilusionstore.es/img/p/7851-5592.jpg,PAÑUELO MULTIUSOS AVENGERS MARVEL,AV2200-1620,'8427934822218',AVENGERS,1.500.000,1.5,0,1
5907,http://ilusionstore.es/img/p/5907-3910.jpg,PLUMIER TRES PISOS MINIONS GIOTTO,MIN2700-0173,'8427934823130',MINIONS,9.990.000,9.99,0,1
8937,http://ilusionstore.es/img/p/8937-6981.jpg,PORTATODO CILINDRICO PAW PATROL NIGHT VISION 21X7,PAW2100-1803,'8427934942398',PAW PATROL,3.250.000,3.25,1,1
6032,http://ilusionstore.es/img/p/6032-4891.jpg,MANTA POLAR MINNIE,MN2200-0502,'8427934765072',MINNIE,4.400.000,4.4,4,1
